path,line_count,similarity,matched_lines,runtime_used_by_count,test_used_by_count,demo_used_by_count,legacy_internal_used_by_count,category,recommendation,estimated_reduction,risk
biochat/tool/database.py,4055,1.0,4055,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/pharmacology.py,3450,1.0,3450,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/genomics.py,2287,1.0,2287,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/molecular_biology.py,1883,1.0,1883,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/immunology.py,1626,1.0,1626,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/genetics.py,1383,1.0,1383,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/microbiology.py,1311,1.0,1311,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/bioimaging.py,1159,1.0,1159,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/bioengineering.py,1133,1.0,1133,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/synthetic_biology.py,1099,1.0,1099,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/cancer_biology.py,1092,1.0,1092,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/physiology.py,1089,1.0,1089,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/pathology.py,841,1.0,841,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/biochemistry.py,831,1.0,831,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/systems_biology.py,737,1.0,737,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/cell_biology.py,588,1.0,588,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/lab_automation.py,544,1.0,544,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/biophysics.py,426,1.0,426,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/literature.py,316,1.0,316,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/support_tools.py,311,1.0,311,4,0,0,0,runtime_core_dependency,keep_with_attribution,0,high
biochat/tool/protocols.py,244,1.0,244,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/tool/glycoengineering.py,127,1.0,127,1,0,0,0,runtime_core_dependency,keep_with_attribution,0,medium
biochat/config.py,111,0.6,66,7,1,1,0,runtime_core_dependency,keep_with_attribution,0,high
biochat/__init__.py,2,1.0,2,0,0,0,0,runtime_core_dependency,keep_with_attribution,0,low
biochat/agent/__init__.py,1,1.0,1,0,0,0,0,runtime_core_dependency,keep_with_attribution,0,low
biochat/tool/__init__.py,1,1.0,1,0,0,0,0,runtime_core_dependency,keep_with_attribution,0,low
biochat/version.py,1,1.0,1,0,0,0,0,runtime_core_dependency,keep_with_attribution,0,low
biochat/model/__init__.py,0,1.0,0,0,0,0,0,runtime_core_dependency,keep_with_attribution,0,low
biochat/task/__init__.py,0,1.0,0,0,0,0,0,runtime_core_dependency,keep_with_attribution,0,low
